date,opportunityId,timeSlotId,opportunitySlug,capacity,bookedCount
2024-10,65ac9a4f6cf5a2bb2fca1b4e,65ac9a4f6cf5a2bb2fca1b4f,community-kitchen-assistant,2,0
2024-11,65ac9a4f6cf5a2bb2fca1b4e,65ac9a4f6cf5a2bb2fca1b4f,community-kitchen-assistant,2,0
2024-12,65ac9a4f6cf5a2bb2fca1b4e,65ac9a4f6cf5a2bb2fca1b4f,community-kitchen-assistant,2,0
2024-07,65ac9a4f6cf5a2bb2fca1b50,65ac9a4f6cf5a2bb2fca1b51,coastal-conservation,4,0
2024-08,65ac9a4f6cf5a2bb2fca1b50,65ac9a4f6cf5a2bb2fca1b51,coastal-conservation,4,0
2024-09,65ac9a4f6cf5a2bb2fca1b50,65ac9a4f6cf5a2bb2fca1b51,coastal-conservation,4,0
2024-09,65ac9a4f6cf5a2bb2fca1b52,65ac9a4f6cf5a2bb2fca1b53,organic-market-marketing,1,0
2024-10,65ac9a4f6cf5a2bb2fca1b52,65ac9a4f6cf5a2bb2fca1b53,organic-market-marketing,1,0
2024-11,65ac9a4f6cf5a2bb2fca1b52,65ac9a4f6cf5a2bb2fca1b53,organic-market-marketing,1,0
2024-12,65ac9a4f6cf5a2bb2fca1b52,65ac9a4f6cf5a2bb2fca1b53,organic-market-marketing,1,0
2024-07,65ac9a4f6cf5a2bb2fca1b54,65ac9a4f6cf5a2bb2fca1b55,art-festival-assistant,2,0
2024-08,65ac9a4f6cf5a2bb2fca1b54,65ac9a4f6cf5a2bb2fca1b55,art-festival-assistant,2,0
2024-09,65ac9a4f6cf5a2bb2fca1b54,65ac9a4f6cf5a2bb2fca1b55,art-festival-assistant,2,0
2024-10,65ac9a4f6cf5a2bb2fca1b54,65ac9a4f6cf5a2bb2fca1b55,art-festival-assistant,2,0
2024-11,65ac9a4f6cf5a2bb2fca1b54,65ac9a4f6cf5a2bb2fca1b55,art-festival-assistant,2,0
2024-12,65ac9a4f6cf5a2bb2fca1b54,65ac9a4f6cf5a2bb2fca1b55,art-festival-assistant,2,0
2024-10,65ac9a4f6cf5a2bb2fca1b56,65ac9a4f6cf5a2bb2fca1b57,eco-product-processing,3,0
2024-11,65ac9a4f6cf5a2bb2fca1b56,65ac9a4f6cf5a2bb2fca1b57,eco-product-processing,3,0
2024-12,65ac9a4f6cf5a2bb2fca1b56,65ac9a4f6cf5a2bb2fca1b57,eco-product-processing,3,0
